index	name	date	distance_km	climb_m
537	Eddies Revenge	30-6-2010	6.1	323.0
268	Hope Wakes	30-6-2010	9.5	451.0
377	Flan Fell	1-7-2010	2.8	91.0
538	Winster	1-7-2010	6.3	212.0
307	Charmouth Challenge	3-7-2010	12.6	578.0
178	Chevy Chase	3-7-2010	32.2	1219.0
539	Cliffhanger	3-7-2010	4.0	105.0
734	Guto Nyth Bran	3-7-2010	9.7	396.0
575	Oakworth Haul	3-7-2010	8.0	198.0
694	Slieve Bearnagh	3-7-2010	6.4	823.0
269	Tockholes	3-7-2010	9.3	335.0
591	Wharfedale Ttt Race 2	3-7-2010	20.1	914.0
848	1st Guisecliff Gallop	4-7-2010	5.6	152.0
370	Callow	4-7-2010	8.0	762.0
392	Langdale Gala	4-7-2010	3.2	91.0
363	Narradale	4-7-2010	20.1	975.0
294	Skiddaw	4-7-2010	14.5	823.0
592	Wharfedale Ttt Race 3	4-7-2010	2.4	152.0
378	Hathersage Gala	5-7-2010	7.2	320.0
421	Trunce 6	5-7-2010	6.8	168.0
541	Carnforth 20 Barriers	6-7-2010	8.0	152.0
238	Saltwell Harriers	6-7-2010	8.8	305.0
542	Stoodley Pike	6-7-2010	5.2	213.0
652	Reston Scar Scamper	7-7-2010	6.0	300.0
703	Stirton	7-7-2010	8.8	366.0
660	Bull Hill	8-7-2010	8.8	335.0
853	Addingham Gala	10-7-2010	9.3	305.0
845	Baildon Carnival	10-7-2010	5.6	137.0
543	Charlesworth & Chisworth Challenge	10-7-2010	4.8	152.0
218	Tal Y Fan	10-7-2010	12.9	732.0
750	Thurlstone Chase	10-7-2010	6.4	244.0
253	Warton Crag	10-7-2010	9.3	183.0
576	Wasdale	10-7-2010	33.8	2743.0
179	Bampton	11-7-2010	8.8	244.0
180	Bollington Nostalgia Race	11-7-2010	11.4	366.0
415	Broomhead Chase	11-7-2010	5.6	244.0
854	Cullingworth Gala	11-7-2010	7.7	152.0
379	Peak Forest	11-7-2010	9.7	198.0
277	Waughs Well	13-7-2010	6.4	305.0
544	Bamford Carnival	14-7-2010	7.2	305.0
384	Stiperstones	14-7-2010	5.1	244.0
715	The Druid	14-7-2010	8.0	366.0
181	Widdop	14-7-2010	11.3	366.0
231	Beacon Hill	15-7-2010	9.7	457.0
243	Ingleborough	17-7-2010	11.3	610.0
364	James Coulson Laxey Fell	17-7-2010	13.7	671.0
710	Moel Siabod	17-7-2010	9.3	701.0
735	Pen Y Fan	17-7-2010	5.6	588.0
661	Tracks To Trig	17-7-2010	1.7	267.0
380	Coniston Country Fair	18-7-2010	9.7	732.0
736	Fan Y Big	18-7-2010	16.1	671.0
545	Holme Moss	18-7-2010	27.4	1219.0
763	Oldfield	18-7-2010	8.8	168.0
348	Cock Howe And Beyond	20-7-2010	11.3	457.0
548	Blisco Dash	21-7-2010	8.0	610.0
381	Shining Tor	21-7-2010	9.5	488.0
577	Sheldon	22-7-2010	6.4	162.0
737	Snowdon	23-7-2010	16.1	1006.0
578	Lingmell Dash	24-7-2010	7.2	762.0
757	Turnslack	24-7-2010	12.9	610.0
579	Great Hucklow	25-7-2010	9.7	305.0
623	Gritstone Tryal	25-7-2010	24.1	610.0
756	James Herriot Run	25-7-2010	13.7	305.0
653	Kentmere	25-7-2010	19.1	1006.0
672	Wormstones	25-7-2010	8.0	411.0
422	Trunce 7	26-7-2010	6.8	168.0
719	Green Green Grass Of Home	28-7-2010	8.0	457.0
439	Harrock Hill 3	28-7-2010	8.4	274.0
654	Heart Of The Lakes Rydal Round	29-7-2010	14.5	914.0
270	Stoney Middleton	29-7-2010	8.4	198.0
254	Beetham Sports	31-7-2010	9.3	283.0
411	Ben Rinnes Five Tops	31-7-2010	22.5	1494.0
203	Dollar	31-7-2010	15.1	960.0
580	Great West	31-7-2010	8.0	415.0
365	North Barrule	31-7-2010	5.6	533.0
260	Push-up-the-pincyn	31-7-2010	9.7	396.0
382	Round Hill	1-8-2010	14.1	335.0
255	Bradwell	3-8-2010	6.4	229.0
396	Crow Hill Reverse	3-8-2010	8.0	305.0
349	Gribdale Gallop	3-8-2010	12.9	427.0
620	Parwich Panoramic Five	3-8-2010	8.5	198.0
182	Cracken Edge	4-8-2010	11.3	442.0
393	Whittle Pike	4-8-2010	7.2	427.0
609	Chevin Hill	5-8-2010	7.2	243.0
289	Borrowdale	7-8-2010	27.4	1981.0
204	Creag Dhubh	7-8-2010	7.2	373.0
581	Hellifield Gala	7-8-2010	5.6	259.0
454	Osmotherley Show	7-8-2010	8.8	320.0
697	Seven Sevens	7-8-2010	30.4	2675.0
475	Bingley Show	8-8-2010	4.8	175.0
751	Boulsworth	8-8-2010	11.3	427.0
276	Forest Burn	8-8-2010	5.6	152.0
460	Long Tour Of Bradwell	8-8-2010	49.9	1920.0
582	Lowther Trail - Cancelled	8-8-2010	21.7	427.0
855	Bransdale	10-8-2010	12.1	259.0
244	Pilgrims Cross	11-8-2010	9.7	335.0
219	Ponderosa	11-8-2010	6.4	290.0
290	Steel Fell	11-8-2010	4.8	340.0
185	Arncliffe Gala	14-8-2010	2.9	137.0
594	Broughton Mills	14-8-2010	5.6	396.0
596	Sticklepath Horseshoe	14-8-2010	15.4	518.0
413	Sugar Loaf	14-8-2010	11.3	526.0
707	Y Garn	14-8-2010	4.8	457.0
678	Belper Rugby Rover	15-8-2010	29.9	571.0
394	Lakeland Country Fair	15-8-2010	10.5	716.0
690	Lomonds Of Fife	15-8-2010	17.7	956.0
271	Worsthorne Moor	15-8-2010	10.9	274.0
423	Trunce 8	16-8-2010	6.8	168.0
350	Guisborough Grunt Plus	17-8-2010	12.9	366.0
186	Eccles Pike	18-8-2010	4.8	249.0
187	Golf Ball	18-8-2010	8.8	244.0
597	Denis Stitt Memorial Race	19-8-2010	6.0	372.0
738	Brecon Beacons	21-8-2010	30.6	1372.0
598	Burnsall Classic	21-8-2010	2.4	274.0
840	Craig Y Rhiw	21-8-2010	6.4	305.0
599	Darwen Gala	21-8-2010	6.0	283.0
695	Donard - Commedagh	21-8-2010	10.5	1006.0
747	Elidir Fawr	21-8-2010	8.0	853.0
602	Falstone Falcon	21-8-2010	8.0	213.0
278	Rusland 5	21-8-2010	8.0	259.0
691	Tap O Noth	21-8-2010	7.6	372.0
395	Weasdale Horseshoe	21-8-2010	12.9	610.0
552	Sedbergh Hills	22-8-2010	22.5	1829.0
673	Chunal	25-8-2010	6.4	290.0
188	Crook Peak Cake Race	25-8-2010	4.8	244.0
440	Harrock Hill 4	25-8-2010	8.4	274.0
369	Ragleth Inn	25-8-2010	6.4	488.0
459	Round Latrigg	25-8-2010	8.8	244.0
368	Arnison Crag Horseshoe	28-8-2010	4.8	305.0
398	Bellingham Show	28-8-2010	6.4	183.0
748	Cancelled - Chipping Show	28-8-2010	12.9	610.0
603	Dentdale	28-8-2010	4.7	422.0
496	Dufton Show	28-8-2010	8.0	457.0
205	Ochil 2000s	28-8-2010	29.0	1524.0
847	Oke Croak	28-8-2010	16.7	628.0
604	Pendleton	28-8-2010	8.0	457.0
610	Bradbourne	29-8-2010	8.7	259.0
739	Cnicht	29-8-2010	7.2	564.0
655	Grasmere Senior Guides Race	29-8-2010	2.4	274.0
740	Moel Fammau	30-8-2010	8.0	381.0
189	Barrel Inn	31-8-2010	10.5	457.0
351	Roseberry Topping	31-8-2010	2.4	218.0
859	Shipman Knotts	31-8-2010	6.4	396.0
206	Ben Nevis	4-9-2010	16.1	1343.0
624	Blackshaw Head Fete	4-9-2010	8.8	274.0
190	Derek Price Memorial Grisedale Horseshoe	4-9-2010	16.1	1524.0
399	Longshaw Sheepdog Trials	4-9-2010	8.8	198.0
207	Morrone	4-9-2010	6.1	305.0
746	Bradley	5-9-2010	5.6	229.0
625	Exterminator	5-9-2010	25.7	1219.0
473	Puma Derwentwater Trail	5-9-2010	13.7	411.0
570	Shelf Moor	5-9-2010	9.5	457.0
424	Trunce 9	6-9-2010	6.8	168.0
308	Ilkley Incline	8-9-2010	1.6	171.0
866	Hades Hill	9-9-2010	8.0	366.0
759	Good Shepherd	11-9-2010	22.5	610.0
633	Great Westmorland Trail	11-9-2010	12.1	366.0
626	Hodder Valley	11-9-2010	12.1	457.0
725	Peris Horseshoe	11-9-2010	28.2	2591.0
191	Chelmorton Chase	12-9-2010	8.0	305.0
400	Norland Moor	12-9-2010	10.3	244.0
309	Padfield Plum Fair Scamper	12-9-2010	8.8	320.0
635	Settle Loop Tough Trail	12-9-2010	13.7	366.0
562	Stretton Skyline	12-9-2010	30.6	1356.0
865	Whitfield Village Fair	12-9-2010	7.4	204.0
310	Yorkshireman Half Marathon	12-9-2010	23.8	564.0
311	Yorkshireman Off Road Marathon	12-9-2010	42.2	914.0
617	Chevin	13-9-2010	4.7	183.0
193	Lantern Pike	18-9-2010	8.0	320.0
858	Orton Autumn Fair	18-9-2010	10.1	258.0
1387	Simonside	18-9-2010	10.9	366.0
235	St  Boniface Fell	18-9-2010	4.8	236.0
549	Three Shires	18-9-2010	20.9	1219.0
236	Ventnor Horseshoe	18-9-2010	11.3	457.0
637	Dale Head	19-9-2010	7.2	674.0
401	Fat Boys Stanage Struggle	19-9-2010	9.8	366.0
285	Top Of The Forest - Cancelled	19-9-2010	12.1	381.0
237	Wroxall Round	19-9-2010	20.9	457.0
741	Black Mountains	25-9-2010	27.4	1585.0
638	Nine Edges Endurance	25-9-2010	32.8	893.0
639	Scafell Pike	25-9-2010	7.2	914.0
402	Thieveley Pike	25-9-2010	6.9	396.0
640	Whernside	25-9-2010	19.5	906.0
679	30th Butser Hill Challenge	26-9-2010	7.2	271.0
861	Cleveland Search & Rescue: Viking Chase	26-9-2010	12.9	457.0
832	Newtyle	26-9-2010	7.2	277.0
863	Powis Arms	26-9-2010	9.2	389.0
